Price,Condition,Vehicle_brand,Vehicle_model,Vehicle_version,Vehicle_generation,Production_year,Mileage_km,Power_HP,Displacement_cm3,Fuel_type
5900.0,Used,Audi,100,2.0 E,C4 (1991-1994),1992,262000.0,101.0,1984.0,Gasoline
6900.0,Used,Audi,100,Avant 2.8 E,C4 (1991-1994),1991,332000.0,174.0,2771.0,Gasoline + LPG
5000.0,Used,Audi,100,Avant 2.6 E,C4 (1991-1994),1993,500000.0,150.0,2598.0,Gasoline
19900.0,Used,Audi,100,,C1 (1968-1976),1974,99000.0,115.0,1900.0,Gasoline
14999.0,Used,Audi,100,Avant 2.2,C3 (1982-1991),1987,108729.0,137.0,2226.0,Gasoline
15000.0,Used,Audi,100,2.0 E,C3 (1982-1991),1990,235726.0,115.0,1994.0,Gasoline
22500.0,Used,Audi,100,Avant 2.8 E,C4 (1991-1994),1994,148000.0,174.0,2771.0,Gasoline
4500.0,Used,Audi,100,,C4 (1991-1994),1996,338679.0,60.0,2370.0,Diesel
8990.0,Used,Audi,100,,C4 (1991-1994),1991,195000.0,101.0,2000.0,Gasoline
9900.0,Used,Audi,100,,C3 (1982-1991),1983,245000.0,90.0,1781.0,Gasoline
3900.0,Used,Audi,100,2.0 E,C4 (1991-1994),1993,286000.0,116.0,1984.0,Gasoline
7950.0,Used,Audi,100,2.0 E,C4 (1991-1994),1993,187450.0,116.0,1984.0,Gasoline + LPG
6500.0,Used,Audi,100,1.8 CC,C3 (1982-1991),1987,320116.0,90.0,1781.0,Gasoline + LPG
6000.0,Used,Audi,100,2.5 TDI,C4 (1991-1994),1993,200000.0,115.0,2460.0,Diesel
18500.0,Used,Audi,100,,C4 (1991-1994),1992,362596.0,116.0,2460.0,Diesel
17500.0,Used,Audi,100,,C2 (1976-1982),1979,114000.0,115.0,2144.0,Gasoline
10500.0,Used,Audi,100,2.0,C3 (1982-1991),1986,99500.0,116.0,1994.0,Gasoline
7500.0,Used,Audi,100,,C4 (1991-1994),1993,311000.0,140.0,2000.0,Gasoline + LPG
50000.0,Used,Audi,100,,C1 (1968-1976),1974,14626.0,115.0,1900.0,Gasoline
15000.0,Used,Audi,100,,C3 (1982-1991),1987,350000.0,133.0,2200.0,Gasoline
10400.0,Used,Audi,100,,C4 (1991-1994),1991,302000.0,136.0,2300.0,Gasoline
18900.0,Used,Audi,100,,C3 (1982-1991),1989,133000.0,136.0,2300.0,Gasoline
18900.0,Used,Audi,100,,C1 (1968-1976),1970,105000.0,73.0,1761.0,Gasoline
4000.0,Used,Audi,80,2.0 E,B4 (1991-1995),1992,320000.0,116.0,1984.0,Gasoline + LPG
16999.0,Used,Audi,80,1.6 D,B2 (1978-1986),1984,162255.0,54.0,1588.0,Diesel
6300.0,Used,Audi,80,Avant 2.0 E,B4 (1991-1995),1995,255550.0,116.0,1984.0,Gasoline + LPG
6900.0,Used,Audi,80,Avant 2.0 E,B4 (1991-1995),1994,269000.0,90.0,1984.0,Gasoline
4900.0,Used,Audi,80,1.8 S,B3 (1986-1991),1989,171000.0,90.0,1760.0,Gasoline
4999.0,Used,Audi,80,1.8 S,B3 (1986-1991),1991,270000.0,90.0,1781.0,Gasoline
2450.0,Used,Audi,80,1.8 S,B3 (1986-1991),1989,290000.0,90.0,1760.0,Gasoline
5800.0,Used,Audi,80,2.0 E,B4 (1991-1995),1992,178000.0,116.0,1984.0,Gasoline
12500.0,Used,Audi,80,1.3 CC,B2 (1978-1986),1979,352690.0,60.0,1296.0,Gasoline + LPG
9900.0,Used,Audi,80,2.0 E,B4 (1991-1995),1991,184000.0,90.0,1984.0,Gasoline
4400.0,Used,Audi,80,,,1992,174000.0,115.0,1984.0,Gasoline
19950.0,Used,Audi,80,,B3 (1986-1991),1990,235000.0,113.0,1964.0,Gasoline
7900.0,Used,Audi,80,Avant 2.0 E,B4 (1991-1995),1994,199999.0,90.0,1984.0,Gasoline
2800.0,Used,Audi,80,,B4 (1991-1995),1992,239000.0,90.0,1896.0,Diesel
4500.0,Used,Audi,80,Avant 2.0 E,B4 (1991-1995),1994,291602.0,116.0,1984.0,Gasoline
3300.0,Used,Audi,80,1.6,B3 (1986-1991),1990,304400.0,69.0,1595.0,Gasoline
20500.0,Used,Audi,80,,B4 (1991-1995),1998,232000.0,125.0,1800.0,Gasoline
8999.0,Used,Audi,80,1.6,B3 (1986-1991),1990,97000.0,75.0,1595.0,Gasoline
11800.0,Used,Audi,80,2.6 E,B4 (1991-1995),1992,134500.0,150.0,2598.0,Gasoline
5500.0,Used,Audi,80,1.9 TDI,B4 (1991-1995),1993,320000.0,90.0,1896.0,Diesel
4000.0,Used,Audi,80,,B4 (1991-1995),1993,198000.0,90.0,1984.0,Gasoline
5900.0,Used,Audi,80,1.6 D,B3 (1986-1991),1987,298720.0,54.0,1570.0,Diesel
3200.0,Used,Audi,80,2.0 E,B4 (1991-1995),1993,373500.0,116.0,1984.0,Gasoline + LPG
2900.0,Used,Audi,80,Avant 2.0 E,B4 (1991-1995),1992,126000.0,90.0,1984.0,Gasoline + LPG
14900.0,Used,Audi,80,,B4 (1991-1995),1996,237000.0,90.0,1896.0,Diesel
11000.0,Used,Audi,80,Avant 2.0 E,B4 (1991-1995),1995,168063.0,116.0,1984.0,Gasoline
5900.0,Used,Audi,80,1.6 D,B3 (1986-1991),1987,187000.0,54.0,1570.0,Diesel
11900.0,Used,Audi,80,2.0 E,B4 (1991-1995),1994,154400.0,116.0,1984.0,Gasoline
